person_age,person_gender,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status,person_education_Bachelor,person_education_Doctorate,person_education_High School,person_education_Master,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
22.0,1,71948.0,0,35000.0,16.02,0.49,3.0,561,0,1,0,0,0,1,0,0,1,0,0,0,1,0
21.0,1,12282.0,0,1000.0,11.14,0.08,2.0,504,1,0,0,0,1,0,0,1,0,1,0,0,0,0
25.0,1,12438.0,3,5500.0,12.87,0.44,3.0,635,0,1,0,0,1,0,0,0,0,0,0,1,0,0
23.0,1,79753.0,0,35000.0,15.23,0.44,2.0,675,0,1,1,0,0,0,0,0,1,0,0,1,0,0
24.0,0,66135.0,1,35000.0,14.27,0.53,4.0,586,0,1,0,0,0,1,0,0,1,0,0,1,0,0
21.0,1,12951.0,0,2500.0,7.14,0.19,2.0,532,0,1,0,0,1,0,0,1,0,0,0,0,0,1
26.0,1,93471.0,1,35000.0,12.42,0.37,3.0,701,0,1,1,0,0,0,0,0,1,1,0,0,0,0
24.0,1,95550.0,5,35000.0,11.11,0.37,4.0,585,0,1,0,0,1,0,0,0,1,0,0,1,0,0
24.0,1,100684.0,3,35000.0,8.9,0.35,2.0,544,0,1,0,0,0,0,0,0,1,0,0,0,1,0
21.0,1,12739.0,0,1600.0,14.74,0.13,3.0,640,0,1,0,0,1,0,0,1,0,0,0,0,0,1
22.0,1,102985.0,0,35000.0,10.37,0.34,4.0,621,0,1,0,0,1,0,0,0,1,0,0,0,0,1
21.0,1,13113.0,0,4500.0,8.63,0.34,2.0,651,0,1,0,0,0,0,0,1,0,0,1,0,0,0
23.0,0,114860.0,3,35000.0,7.9,0.3,2.0,573,0,1,1,0,0,0,0,0,1,0,0,0,0,1
26.0,0,130713.0,0,35000.0,18.39,0.27,4.0,708,0,1,0,0,0,1,0,0,1,1,0,0,0,0
23.0,1,138998.0,0,35000.0,7.9,0.25,4.0,583,0,0,0,0,0,0,0,0,1,1,0,0,0,0
23.0,1,600891.0,5,30000.0,10.65,0.05,3.0,670,1,0,0,0,0,1,0,0,0,0,0,0,0,0
23.0,0,144943.0,0,35000.0,7.9,0.24,4.0,663,0,0,1,0,0,0,0,0,1,1,0,0,0,0
23.0,1,111369.0,0,35000.0,20.0,0.31,4.0,694,0,1,0,0,1,0,0,0,1,0,0,1,0,0
23.0,0,136628.0,0,35000.0,18.25,0.26,4.0,709,0,1,1,0,0,0,0,0,1,0,0,0,0,0
24.0,1,14283.0,1,1750.0,10.99,0.12,2.0,679,0,1,0,0,0,1,0,0,0,1,0,0,0,0
25.0,0,195718.0,0,35000.0,7.49,0.18,4.0,684,1,0,1,0,0,0,0,0,1,0,0,0,0,1
25.0,0,165792.0,4,34800.0,16.77,0.21,2.0,662,0,0,0,0,1,0,0,0,1,0,0,0,1,0
22.0,1,79255.0,0,34000.0,17.58,0.43,4.0,691,0,1,0,0,0,1,0,0,1,1,0,0,0,0
24.0,1,13866.0,0,1500.0,7.29,0.11,3.0,600,1,0,1,0,0,0,0,1,0,0,0,0,1,0
22.0,0,97420.0,1,33950.0,14.54,0.35,4.0,691,0,1,1,0,0,0,0,0,1,0,0,0,1,0
24.0,1,82443.0,0,33000.0,12.68,0.4,3.0,654,0,1,0,0,1,0,0,0,1,0,1,0,0,0
21.0,1,14288.0,0,4575.0,17.74,0.32,3.0,626,0,1,0,0,0,0,0,0,0,0,0,0,0,1
23.0,0,14293.0,0,1400.0,9.32,0.1,3.0,607,0,0,0,0,1,0,0,1,0,0,0,0,1,0
24.0,1,79054.0,1,32500.0,9.99,0.41,3.0,700,0,1,1,0,0,0,0,0,1,0,1,0,0,0
21.0,1,14988.0,0,4000.0,12.84,0.27,2.0,553,0,1,1,0,0,0,1,0,0,1,0,0,0,0
21.0,0,14858.0,0,2000.0,11.12,0.13,3.0,589,0,1,0,0,1,0,0,1,0,0,0,1,0,0
25.0,0,144855.0,1,32000.0,6.62,0.22,2.0,586,1,0,1,0,0,0,0,0,1,0,0,0,0,1
26.0,0,114645.0,2,31050.0,14.17,0.27,3.0,681,0,1,1,0,0,0,0,0,1,0,1,0,0,0
25.0,1,368115.0,3,24250.0,13.85,0.07,3.0,567,1,0,0,0,1,0,0,0,1,0,0,0,0,0
26.0,1,361076.0,1,7800.0,13.49,0.02,4.0,669,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21.0,0,15150.0,0,2500.0,7.51,0.17,4.0,600,0,1,0,0,0,0,0,1,0,1,0,0,0,0
22.0,1,58868.0,0,30000.0,18.39,0.51,2.0,606,0,1,1,0,0,0,0,0,1,1,0,0,0,0
24.0,0,78026.0,3,30000.0,14.54,0.38,3.0,582,0,1,0,0,1,0,0,0,1,0,0,0,0,0
25.0,0,90785.0,4,30000.0,16.89,0.33,4.0,649,0,1,1,0,0,0,0,0,1,0,1,0,0,0
23.0,1,86811.0,0,30000.0,11.01,0.35,4.0,602,0,1,0,0,1,0,0,0,1,0,0,0,0,0
26.0,0,75503.0,5,30000.0,17.99,0.4,2.0,616,0,1,1,0,0,0,0,0,1,0,0,1,0,0
24.0,1,15082.0,0,2500.0,12.69,0.17,3.0,631,0,1,0,0,1,0,0,1,0,0,0,0,0,1
26.0,0,361293.0,5,20000.0,7.88,0.06,4.0,684,1,0,1,0,0,0,0,0,0,0,0,0,0,1
23.0,0,361547.0,0,24250.0,19.41,0.07,2.0,637,1,0,0,0,1,0,0,1,0,1,0,0,0,0
26.0,0,360680.0,5,10000.0,10.38,0.03,4.0,649,0,0,0,0,0,1,0,1,0,0,1,0,0,0
26.0,0,360977.0,5,25000.0,15.33,0.07,3.0,695,1,0,1,0,0,0,0,0,0,1,0,0,0,0
25.0,1,361244.0,2,18000.0,16.45,0.05,3.0,620,0,0,1,0,0,0,0,0,0,0,1,0,0,0
26.0,0,98230.0,2,30000.0,7.49,0.31,3.0,622,0,1,1,0,0,0,0,0,1,0,0,0,1,0
22.0,1,80838.0,0,30000.0,12.69,0.37,3.0,645,0,1,0,0,1,0,0,0,1,0,0,1,0,0
26.0,0,107957.0,2,30000.0,6.62,0.28,3.0,654,0,1,0,0,0,1,0,0,1,0,0,0,0,0
24.0,1,94649.0,2,30000.0,11.01,0.32,4.0,624,0,1,1,0,0,0,0,0,1,0,0,0,0,0
23.0,0,94550.0,1,30000.0,18.62,0.32,3.0,570,0,1,0,0,1,0,0,0,1,0,0,0,0,0
23.0,0,111153.0,3,30000.0,15.23,0.27,3.0,648,0,1,1,0,0,0,0,0,1,0,0,0,1,0
23.0,1,117250.0,0,30000.0,10.65,0.26,2.0,652,0,1,0,0,0,0,0,0,1,0,0,0,0,1
25.0,0,144985.0,3,30000.0,7.9,0.21,4.0,559,0,0,1,0,0,0,0,0,1,1,0,0,0,0
26.0,0,337133.0,7,10000.0,15.96,0.03,3.0,623,1,0,0,0,1,0,0,0,1,0,0,0,1,0
26.0,0,333566.0,2,20000.0,11.48,0.06,3.0,602,1,0,0,0,0,0,0,0,1,0,0,0,0,1
23.0,0,333399.0,1,35000.0,11.01,0.1,4.0,609,0,0,1,0,0,0,0,1,0,0,0,0,1,0
25.0,0,154793.0,1,30000.0,7.29,0.19,4.0,573,1,0,0,0,0,1,0,0,1,0,0,0,1,0
24.0,0,15229.0,1,1750.0,11.01,0.11,3.0,631,1,0,0,0,0,0,0,1,0,0,0,0,0,1
21.0,1,158338.0,0,30000.0,5.99,0.19,4.0,623,1,0,1,0,0,0,0,0,1,0,0,0,0,1
22.0,1,331034.0,0,12000.0,11.58,0.04,2.0,602,1,0,1,0,0,0,0,1,0,0,0,0,0,1
